id,artist,lastfm_artist_bio
575,Will Smith,"Willard Carroll Smith II (born September 25, 1968) is an American actor, rapper, and film producer. He has received multiple accolades, including an Academy Award, a Golden Globe Award, a BAFTA Award, and four Grammy Awards. As of 2025, his films have grossed over $9.5 billion globally, making him one of Hollywood's most bankable stars.

Smith first gained recognition as part of a hip hop duo with DJ Jazzy Jeff, with whom he released five studio albums which contained five Billboard Hot 100-top 20 singles—""Parents Just Don't Understand"" Read more on Last.fm"
576,Willie Nelson,"Willie Hugh Nelson (born April 29, 1933) is an American musician, actor, and activist. The critical success of the album Shotgun Willie (1973), combined with the critical and commercial success of Red Headed Stranger (1975) and Stardust (1978), made Nelson one of the most recognized artists in country music. He was one of the main figures of outlaw country, a subgenre of country music that developed in the late 1960s as a reaction to the conservative restrictions of the Nashville sound. Read more on Last.fm"
577,Wilson Phillips,"Wilson Phillips was an American pop group made up of Carnie Wilson, Wendy Wilson and Chynna Phillips. Although their success in the early 1990s was brief, they scored four Grammy Award nominations, two American Music Award nominations and a Billboard Music Award, they are also famous for being the offspring of prominent musicians; the Wilsons are the daughters of Brian Wilson of The Beach Boys, while Phillips's parents are John Phillips and Michelle Phillips of The Mamas & the Papas. Read more on Last.fm"
578,Wilson Pickett,"Wilson Pickett (March 18, 1941 – January 19, 2006) was an American R&B and soul singer. Known for his raw, passionate delivery, he played a major role in developing southern soul music. Aided immeasurably by the excellent studio bands backing him at the Stax Studios in Memphis, Tennessee and at the Fame Studio in Muscle Shoals Alabama, Pickett created iconic hits such as ""In the Midnight Hour,"" ""Mustang Sally,"" and ""Funky Broadway"" for Atlantic Records between 1963 and 1972. Read more on Last.fm"
579,Wishbone Ash,"Wishbone Ash is a British rock band formed in 1969. The group is known for pioneering the use of twin lead guitars, which became a distinctive element of their sound. They gained significant popularity during the early to mid-1970s with albums such as ""Wishbone Ash"" (1970), ""Argus"" (1972), ""There's the Rub"" (1974), and ""New England"" (1976).

The band originated in Torquay, Devon, England, where bassist Martin Turner and drummer Steve Upton first played together before relocating to London to further their musical careers. Read more on Last.fm"
580,Within Temptation,"Within Temptation is a Dutch symphonic metal/rock band founded in April 1996 by vocalist Sharon den Adel and guitarist Robert Westerholt.

The band went through numerous style changes, blending various genres throughout its career. Their debut album Enter and early singles were in vein of gothic metal.  From Mother Earth (2000) album onwards, the band shifted to symphonic metal genre, which brought Within Temptation to popularity. Their recent albums, starting with The Unforgiving (2011), lean towards  alternative rock  and  synth rock . Read more on Last.fm"
581,Wiz Khalifa,"Cameron Jibril Thomaz (born September 8, 1987 in Minot, North Dakota), better known by his stage name Wiz Khalifa, is an American rapper based in Pittsburgh, Pennsylvania, signed to Rostrum Records. According to the Black and Yellow Songfacts, his stage name is derived from khalifa, an Arabic word meaning ""successor"", and wisdom. His nickname growing up was ""Wizard"" which was shortened to Wiz when Khalifa was fifteen.

In 2005 he released his first official mixtape Read more on Last.fm"
582,Wu-Tang Clan,"Wu-Tang Clan is a hip-hop group that consists of: RZA, GZA/Genius, Ghostface Killah, Raekwon, Ol' Dirty Bastard, Method Man, Inspectah Deck, U-God, and Masta Killa. They are frequently joined by fellow childhood friend Cappadonna, a quasi member of the group. They were formed in (and are associated with) the New York City borough of Staten Island (referred to by members as ""Shaolin""), though Masta Killa and GZA are from Brooklyn and Inspectah Deck is from the Bronx. Read more on Last.fm"
583,Wyclef Jean,"Wyclef Jean (born October 17, 1972 in Croix-des-Bouquets, Haïti) is an American rapper, producer, and member of the superstar hip hop trio The Fugees, known now for a series of high-profile hit singles.

Jean moved to Brooklyn, New York when he was nine, then to Northern New Jersey, where he began playing the guitar and studying jazz in his high school. In 1987, Jean, his friend (so close they told people they were cousins growing up) Prakazrel Michel (Pras) and his classmate Read more on Last.fm"
584,X,"X is an American punk rock band formed in Los Angeles, California in 1977. The original members are vocalist Exene Cervenka, vocalist-bassist John Doe, guitarist Billy Zoom and drummer D. J. Bonebrake. The band released seven studio albums from 1980 to 1993. After a period of inactivity during the mid-to-late 1990s, X reunited in the early 2000s and continues to tour as of 2023.

X achieved limited mainstream success but influenced various genres of music, including punk rock, Americana, and folk rock. Read more on Last.fm"
585,X Japan,"X Japan (Japanese: エックス・ジャパン, Hepburn: Ekkusu Japan) is a Japanese rock band from Chiba, formed in 1982 by drummer and pianist Yoshiki and lead vocalist Toshi. Starting as a predominantly power/speed metal band with heavy symphonic elements, they later gravitated towards a progressive sound with an emphasis on ballads. Besides being one of the first Japanese acts to achieve mainstream success while on an independent label, the group is widely credited as one of the pioneers of visual kei Read more on Last.fm"
586,X-Raided,"X-Raided, real name Anarae Brown, was born in Sacramento and moved back and forth from Sac to his mothers homtown Waco.TX, and raised primarily in South Sacramento, CA in the Gardens community. He is a notorious gangster rapper who, shortly after releasing his 1992 debut LP Psycho Active, was convicted on murder charges. The album's violent lyrics were cited as evidence at his trial. While in prison, X-Raided recorded another album entirely over the telephone. Read more on Last.fm"
587,X-Ray Spex,"X-Ray Spex were an English punk band from London that formed in 1976. The original line-up featured singer Poly Styrene (born Marianne Joan Elliott-Said) on vocals, Jak Airport (Jack Stafford) on guitars, Paul Dean on bass, Paul 'B. P.' Hurding on Drums, and Lora Logic (born Susan Whitby) on saxophone. This latter instrument was an atypical addition to the standard punk instrumental line-up, and became one of the group's most distinctive features. Read more on Last.fm"
588,X-Treme,"X-Treme is Italian singer and producer Agostino Carollo.
Singles: Babyblue, My Song, Wonderland, Viva la Discoteca, Tell Me and Fly Away. Read more on Last.fm"
589,Xandria,"Xandria is a symphonic metal band that formed 1994 in Bielefeld (NRW), Germany. According to the band, Xandria unifies modern rock with mystic soundscapes into a soundtrack of a different, really characteristic world.
1994 - 1997
A predecessor of the band was formed by Marco Heubaum (guitars, keyboards), drawing inspiration from Bands like Tiamat and Paradise Lost. This band was already named Xandria, but due to musical dissension between the members, they parted ways in 1997. Read more on Last.fm"
590,Xavier Naidoo,"Xavier Naidoo is one of the most famous German singers -- and one of the most successful as well. His third album ""Telegramm für X"" has already reached platinum status four times. His lyrics deal with society, his strong Christian beliefs, and love. 

Xavier Kurt Naidoo -- born 2 October 1971 in Mannheim, Germany to a South African mother and Indian father -- sings in German and occasionally in English. He is known for his soulful voice and has collaborated with several famous artists such as the Wu-Tang Clan's RZA Read more on Last.fm"
591,Xavier Rudd,"Xavier Rudd (born 29 May 1978) is a soulful Australian singer-songwriter and multi-instrumentalist whose songs encompass themes such as spirituality, humanity, environmentalism and the rights of Indigenous Australians. He recorded as Xavier Rudd & Izintaba for the 2010 album ""Koonyum Sun"" and as Xavier Rudd & the United Nations for the 2017 album ""Nanna"". 

Growing up in a family of seven children in Torquay, Victoria (Australia), near the famous surfing location Bells Beach, Rudd showed a keen interest in music. Read more on Last.fm"
592,Xentrix,"Xentrix (pronounced ""zen-tricks"") is an English thrash metal band from Preston, Lancashire. The band were formed in 1984 under the name Sweet Vengeance.[1] They changed their name to Xentrix in 1988,[2] and released four albums – Shattered Existence (1989), For Whose Advantage? (1990), Kin (1992) and Scourge (1996) – before splitting up in 1997. After briefly reuniting in 2005–2006, Xentrix reunited once again in 2013, and released their first album in 23 years, Bury the Pain, in 2019. Read more on Last.fm"
593,Xiu Xiu,"Xiu Xiu (pronounced ""shoo shoo"") is an American experimental group, formed in 2002 in San Jose, California by original members Jamie Stewart, Lauren Andrews, Yvonne Chen, and Cory McCulloch. Currently, the line-up consists of Jamie Stewart (the only constant member since formation), Angela Seo, and David Kendrick. Stewart and Seo reside in Germany, while Kendrick is a touring member, playing drums for the group.

Over the life of the band, their music has taken influence from noise Read more on Last.fm"
